COUNTYA,TRACTA,BLKGRPA,BLOCKA,CODE,SDELMA,SDELMA_2,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,TOT K-5 (Modified),TOT 6-8 (Modified),TOT ELEM (Modified),ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,TOT_ENROLL,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL
25,202,1,1005,252021005,1,1,75,62,5,0,8,0,0,0,0,1.170524613,1.170524613,0,0,0,0,0,0,0
25,202,1,1006,252021006,1,1,141,88,3,0,25,0,21,4,8.206654619,2.926311533,11.13296615,0,0,0,0,0,0,0
25,202,1,1007,252021007,1,1,93,67,2,0,14,0,4,6,5.129159137,1.170524613,6.29968375,0,0,0,0,0,0,0
25,202,1,1008,252021008,1,1,278,216,9,0,45,0,5,3,5.129159137,2.926311533,8.05547067,0,0,0,0,0,0,0
25,202,1,1009,252021009,1,1,234,197,8,2,17,0,2,8,7.180822792,1.75578692,8.936609712,0,0,0,0,0,0,0
25,202,2,2000,252022000,1,1,321,264,16,0,16,0,9,16,8.206654619,4.682098453,12.88875307,0,0,0,0,0,0,0
25,202,2,2001,252022001,1,1,78,71,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
25,202,2,2002,252022002,1,1,101,65,1,0,30,0,5,0,5.129159137,1.170524613,6.29968375,0,0,0,0,0,0,0
25,202,2,2003,252022003,1,1,302,219,8,1,54,0,15,5,8.206654619,2.926311533,11.13296615,0,0,0,0,0,0,0
25,202,2,2004,252022004,1,1,23,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,202,3,3000,252023000,1,1,129,94,0,3,25,0,4,3,11.2841501,2.926311533,14.21046163,0,0,0,0,0,0,0
25,202,3,3001,252023001,1,1,82,65,2,0,15,0,0,0,5.129159137,1.170524613,6.29968375,0,0,0,0,0,0,0
25,202,3,3002,252023002,1,1,14,14,0,0,0,0,0,0,2.051663655,0.585262307,2.636925961,0,0,0,0,0,0,0
25,202,3,3003,252023003,1,1,47,39,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0
25,202,3,3004,252023004,1,1,174,146,7,0,20,0,0,1,3.077495482,2.926311533,6.003807015,0,0,0,0,0,0,0
25,202,3,3005,252023005,1,1,91,73,0,0,18,0,0,0,6.154990964,2.926311533,9.081302498,0,0,0,0,0,0,0
25,202,3,3006,252023006,1,1,95,86,0,0,3,0,6,0,3.077495482,0.585262307,3.662757789,0,0,0,0,0,0,0
25,202,3,3007,252023007,1,1,116,98,0,0,13,0,0,5,3.077495482,1.170524613,4.248020095,0,0,0,0,0,0,0
25,202,4,4000,252024000,1,2,825,211,248,11,129,1,176,49,91.29903264,47.40624684,138.7052795,0,0,0,0,0,0,0
25,301,1,1000,253011000,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,301,1,1001,253011001,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,301,1,1002,253011002,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,301,1,1003,253011003,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,301,1,1004,253011004,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,301,1,1005,253011005,1,2,105,69,13,6,0,0,4,13,5.129159137,2.926311533,8.05547067,0,0,0,0,0,0,0
25,301,1,1006,253011006,1,2,252,169,15,0,62,0,0,6,8.206654619,5.26736076,13.47401538,0,0,0,0,0,0,0
25,301,1,1007,253011007,1,2,166,101,10,0,26,0,21,8,4.103327309,8.193672294,12.2969996,0,0,0,0,0,0,0
25,301,1,1008,253011008,1,2,114,95,4,0,8,0,0,7,2.051663655,0,2.051663655,0,0,0,0,0,0,0
25,301,1,1009,253011009,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
