COUNTYA,TRACTA,BLKGRPA,CODE,SDELMA,SDSECA,SDELMA_2,SDSECA_2,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,OTHER_2MORE,3MORE,<.50,.50-.99,1.00-1.24,1.25-1.49,1.50-1.84,1.85-1.99,>2.00,TOT_INCOME_POP,TOTHOUSE,INCOME,TOT K-5,TOT 6-8,TOT ELEM,TOT SEC,ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,ENROLL_9-12,TOT_ENROLL,NUM_SCHOOLS,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL,NUM_9-12_SCHOOLS
1,10900,1,1109001,2970,4560,272,309,1570,1498,34,0,0,0,15,23,0,23,95,0,12,64,15,0,1322,1508,707,51913700,75.91155522,52.08834529,127.9999005,70.625,197,0,197,0,197,1,1,0,1,0
1,10900,2,1109002,2970,4560,272,309,1082,1082,0,0,0,0,0,0,0,0,118,184,10,0,88,0,602,1002,397,27302900,47.18826406,26.92206611,74.11033017,43.125,0,0,0,0,0,0,0,0,0,0
1,10900,3,1109003,2970,4560,272,309,1511,1446,54,0,0,0,0,11,0,11,0,18,0,21,56,0,1416,1511,710,56003500,66.67906878,36.28626301,102.9653318,50,190,0,190,0,190,1,1,0,1,0
1,10900,4,1109004,2970,4560,272,309,816,671,31,0,0,0,0,114,0,114,14,114,66,14,0,0,608,816,374,26056700,23.59413203,16.97260689,40.56673892,21.25,0,0,0,0,0,0,0,0,0,0
1,11002,1,1110021,5910,5910,254,254,720,711,0,0,0,0,0,9,0,9,19,87,9,0,10,0,595,720,326,23228900,45.1366004,21.65470535,66.79130575,18.125,499,0,499,0,499,1,1,0,1,0
1,11002,2,1110022,5910,5910,254,254,879,879,0,0,0,0,0,0,0,0,68,10,32,50,73,0,646,879,460,40879300,37.95577761,20.48418073,58.43995835,25,0,0,0,0,0,0,0,0,0,0
1,11002,3,1110023,5910,5910,254,254,576,576,0,0,0,0,0,0,0,0,43,10,0,33,35,9,446,576,326,38175200,7.180822792,7.608409987,14.78923278,10,0,0,0,0,0,0,0,0,0,0
1,11002,4,1110024,5910,5910,254,254,2289,1994,54,0,10,0,187,44,44,0,180,58,60,9,110,166,1629,2212,854,67652100,118.996492,76.08409987,195.0805918,87.5,0,0,0,0,0,0,0,0,0,0
1,11100,1,1111001,5910,5910,254,254,857,850,0,0,7,0,0,0,0,0,11,45,0,44,0,51,706,857,430,29118600,33.8524503,33.35995148,67.21240178,25,0,0,0,0,0,0,0,0,0,0
1,11100,2,1111002,5910,5910,254,254,970,970,0,0,0,0,0,0,0,0,13,0,13,89,13,90,752,970,422,25568800,51.29159137,31.60416456,82.89575593,36.25,0,478,478,0,478,2,0,2,2,0
