COUNTYA,TRACTA,BLKGRPA,CODE,SDELMA,SDSECA,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,OTHER_2MORE,3MORE,<.50,.50-.99,1.00-1.24,1.25-1.49,1.50-1.84,1.85-1.99,>2.00,TOT_INCOME_POP,TOTHOUSE,INCOME,TOT K-5,TOT 6-8,TOT ELEM,TOT SEC,ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,ENROLL_9-12,TOT_ENROLL,NUM_SCHOOLS,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL,NUM_9-12_SCHOOLS
25,802,4,258024,2790,2790,2158,1089,69,13,464,0,494,29,0,29,260,213,56,68,112,234,1215,2158,742,52840700,53.34325502,25.16627919,78.50953421,51.25,0,0,0,0,0,0,0,0,0,0
25,802,5,258025,2790,2790,2385,1751,143,0,427,0,34,30,17,13,609,350,130,192,47,15,431,1774,878,30380300,7.180822792,2.926311533,10.10713432,130,0,0,0,0,0,0,0,0,0,0
25,803,1,258031,2790,2790,1381,615,98,0,441,0,227,0,0,0,109,242,61,151,193,74,421,1251,696,31428200,40.00744127,20.48418073,60.491622,368.75,0,0,0,0,0,0,0,0,0,0
25,803,2,258032,2790,2790,2052,1495,93,15,292,15,71,71,0,71,0,0,0,0,0,0,0,0,0,3460100,0,0,0,1085,1156,558,1714,630,2344,2,2,2,2,2
25,10103,1,25101031,2790,2790,1850,1203,66,26,437,0,59,59,0,59,90,31,54,38,23,0,179,415,315,16144700,2.051663655,0,2.051663655,950.625,0,0,0,0,0,0,0,0,0,0
25,10103,2,25101032,2790,2790,686,534,0,0,142,0,0,10,0,10,0,30,0,0,0,0,0,30,19,1840700,0,0,0,424.375,0,0,0,0,0,0,0,0,0,0
25,10103,3,25101033,2790,2790,1217,760,61,0,308,10,0,78,14,64,91,40,0,0,0,0,44,175,96,5420600,0,0,0,226.25,0,0,0,0,0,0,0,0,0,0
25,10104,1,25101041,2790,2790,1372,941,200,0,164,0,16,51,0,51,216,115,28,72,0,66,875,1372,803,65319200,15.38747741,3.51157384,18.89905125,28.75,0,0,0,0,0,0,0,0,0,0
25,10104,2,25101042,2790,2790,2856,2135,62,0,523,16,56,64,0,64,163,118,0,0,16,0,511,808,509,44554700,1.025831827,1.170524613,2.196356441,480.625,0,0,0,0,0,0,0,0,0,0
25,10104,3,25101043,2790,2790,1004,630,23,0,345,0,0,6,0,6,140,48,145,54,40,0,359,786,601,29572000,5.129159137,1.75578692,6.884946057,48.125,0,0,0,0,0,0,0,0,0,0
25,10203,1,25102031,2790,2790,1204,1056,15,0,133,0,0,0,0,0,389,133,39,79,9,0,455,1104,652,33345500,1.025831827,0,1.025831827,73.75,0,0,0,0,0,0,0,0,0,0
25,10203,2,25102032,2790,2790,1967,1415,73,0,418,0,34,27,0,27,333,150,0,13,29,0,1442,1967,1215,90269100,12.30998193,12.29050844,24.60049037,56.25,0,0,0,0,0,0,0,0,0,0
25,10203,3,25102033,2790,2790,1586,1071,51,10,262,0,161,31,0,31,202,169,39,43,137,48,853,1491,1041,44750400,1.025831827,2.926311533,3.952143361,25,0,0,0,0,0,0,0,0,0,0
25,10203,4,25102034,2790,2790,250,133,55,0,33,0,29,0,0,0,67,20,0,0,0,10,153,250,189,7263200,14.36164558,4.682098453,19.04374404,10.625,0,0,0,0,0,0,0,0,0,0
25,10204,1,25102041,2790,2790,457,209,0,0,199,0,39,10,10,0,215,68,8,11,0,0,155,457,223,9974600,0,0.585262307,0.585262307,65,0,0,0,0,0,0,0,0,0,0
